,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
86,s41-q985-im111-im213-impicker,985,111,213,213,41,1,False,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
87,s41-q983-im111-im151-impicker,983,111,151,111,41,1,False,001202-laddernet-chase.png,001202-unet-chase.png,001202-laddernet-chase.png,laddernet,chase
88,s41-q977-im45-im151-impicker,977,45,151,151,41,1,False,001202-vgan-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
89,s41-q995-im165-im223-impicker,995,165,223,223,41,1,False,001202-iternet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
90,s41-q981-im151-im165-impicker,981,151,165,151,41,1,False,001202-unet-chase.png,001202-iternet-chase.png,001202-unet-chase.png,unet,chase
91,s41-q979-im213-im223-impicker,979,213,223,213,41,1,False,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-eswanet-chase.png,eswanet,chase
92,s41-q1001-im45-im213-impicker,1001,45,213,213,41,1,False,001202-vgan-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
93,s41-q998-im37-im223-impicker,998,37,223,223,41,1,False,001202-iternet_uni-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
94,s41-q988-im37-im151-impicker,988,37,151,151,41,1,False,001202-iternet_uni-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
95,s41-q999-im53-im111-impicker,999,53,111,53,41,1,False,001202-saunet-chase.png,001202-laddernet-chase.png,001202-saunet-chase.png,saunet,chase
96,s41-q1008-im37-im45-impicker,1008,37,45,45,41,1,False,001202-iternet_uni-chase.png,001202-vgan-chase.png,001202-vgan-chase.png,vgan,chase
97,s41-q978-im45-im151-impicker,978,45,151,151,41,1,True,001202-vgan-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
98,s41-q970-im151-im223-impicker,970,151,223,151,41,1,False,001202-unet-chase.png,001202-vesselunet-chase.png,001202-unet-chase.png,unet,chase
99,s41-q967-im165-im213-impicker,967,165,213,213,41,1,False,001202-iternet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
100,s41-q1003-im213-im223-impicker,1003,213,223,213,41,1,True,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-eswanet-chase.png,eswanet,chase
101,s41-q971-im37-im111-impicker,971,37,111,111,41,1,False,001202-iternet_uni-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
102,s41-q1005-im151-im165-impicker,1005,151,165,151,41,1,True,001202-unet-chase.png,001202-iternet-chase.png,001202-unet-chase.png,unet,chase
103,s41-q997-im151-im213-impicker,997,151,213,151,41,1,False,001202-unet-chase.png,001202-eswanet-chase.png,001202-unet-chase.png,unet,chase
104,s41-q1000-im53-im223-impicker,1000,53,223,53,41,1,False,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-saunet-chase.png,saunet,chase
105,s41-q974-im45-im223-impicker,974,45,223,223,41,1,False,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
106,s41-q969-im53-im213-impicker,969,53,213,213,41,1,False,001202-saunet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
107,s41-q1004-im37-im53-impicker,1004,37,53,53,41,1,True,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
108,s41-q991-im151-im223-impicker,991,151,223,223,41,1,True,001202-unet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
109,s41-q1002-im111-im165-impicker,1002,111,165,111,41,1,False,001202-laddernet-chase.png,001202-iternet-chase.png,001202-laddernet-chase.png,laddernet,chase
110,s41-q990-im53-im151-impicker,990,53,151,53,41,1,False,001202-saunet-chase.png,001202-unet-chase.png,001202-saunet-chase.png,saunet,chase
111,s41-q994-im45-im165-impicker,994,45,165,165,41,1,False,001202-vgan-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
112,s41-q973-im53-im111-impicker,973,53,111,111,41,1,True,001202-saunet-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
113,s41-q993-im111-im223-impicker,993,111,223,111,41,1,False,001202-laddernet-chase.png,001202-vesselunet-chase.png,001202-laddernet-chase.png,laddernet,chase
114,s41-q972-im45-im223-impicker,972,45,223,223,41,1,True,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
115,s41-q984-im111-im213-impicker,984,111,213,213,41,1,True,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
116,s41-q1007-im37-im165-impicker,1007,37,165,165,41,1,False,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
117,s41-q996-im111-im165-impicker,996,111,165,111,41,1,True,001202-laddernet-chase.png,001202-iternet-chase.png,001202-laddernet-chase.png,laddernet,chase
118,s41-q987-im53-im165-impicker,987,53,165,53,41,1,False,001202-saunet-chase.png,001202-iternet-chase.png,001202-saunet-chase.png,saunet,chase
119,s41-q980-im53-im213-impicker,980,53,213,53,41,1,True,001202-saunet-chase.png,001202-eswanet-chase.png,001202-saunet-chase.png,saunet,chase
120,s41-q976-im53-im223-impicker,976,53,223,53,41,1,True,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-saunet-chase.png,saunet,chase
121,s41-q992-im37-im213-impicker,992,37,213,213,41,1,False,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
122,s41-q1006-im37-im213-impicker,1006,37,213,213,41,1,True,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
123,s41-q975-im37-im165-impicker,975,37,165,165,41,1,True,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
124,s41-q968-im53-im151-impicker,968,53,151,53,41,1,True,001202-saunet-chase.png,001202-unet-chase.png,001202-saunet-chase.png,saunet,chase
125,s41-q989-im45-im53-impicker,989,45,53,53,41,1,False,001202-vgan-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
126,s41-q982-im45-im111-impicker,982,45,111,45,41,6,False,001202-vgan-chase.png,001202-laddernet-chase.png,001202-vgan-chase.png,vgan,chase
127,s41-q986-im37-im53-impicker,986,37,53,53,41,6,False,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
128,s41-q985-im111-im213-impicker,985,111,213,213,41,6,False,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
129,s41-q983-im111-im151-impicker,983,111,151,151,41,6,False,001202-laddernet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
130,s41-q977-im45-im151-impicker,977,45,151,45,41,6,False,001202-vgan-chase.png,001202-unet-chase.png,001202-vgan-chase.png,vgan,chase
131,s41-q995-im165-im223-impicker,995,165,223,223,41,6,False,001202-iternet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
132,s41-q981-im151-im165-impicker,981,151,165,151,41,6,False,001202-unet-chase.png,001202-iternet-chase.png,001202-unet-chase.png,unet,chase
133,s41-q979-im213-im223-impicker,979,213,223,223,41,6,False,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
134,s41-q1001-im45-im213-impicker,1001,45,213,45,41,6,False,001202-vgan-chase.png,001202-eswanet-chase.png,001202-vgan-chase.png,vgan,chase
135,s41-q998-im37-im223-impicker,998,37,223,223,41,6,False,001202-iternet_uni-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
136,s41-q988-im37-im151-impicker,988,37,151,151,41,6,False,001202-iternet_uni-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
137,s41-q999-im53-im111-impicker,999,53,111,111,41,6,False,001202-saunet-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
138,s41-q1008-im37-im45-impicker,1008,37,45,45,41,6,False,001202-iternet_uni-chase.png,001202-vgan-chase.png,001202-vgan-chase.png,vgan,chase
139,s41-q978-im45-im151-impicker,978,45,151,151,41,6,True,001202-vgan-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
140,s41-q970-im151-im223-impicker,970,151,223,151,41,6,False,001202-unet-chase.png,001202-vesselunet-chase.png,001202-unet-chase.png,unet,chase
141,s41-q967-im165-im213-impicker,967,165,213,213,41,6,False,001202-iternet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
142,s41-q1003-im213-im223-impicker,1003,213,223,223,41,6,True,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
143,s41-q971-im37-im111-impicker,971,37,111,111,41,6,False,001202-iternet_uni-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
144,s41-q1005-im151-im165-impicker,1005,151,165,151,41,6,True,001202-unet-chase.png,001202-iternet-chase.png,001202-unet-chase.png,unet,chase
145,s41-q997-im151-im213-impicker,997,151,213,151,41,6,False,001202-unet-chase.png,001202-eswanet-chase.png,001202-unet-chase.png,unet,chase
146,s41-q1000-im53-im223-impicker,1000,53,223,223,41,6,False,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
147,s41-q974-im45-im223-impicker,974,45,223,45,41,6,False,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vgan-chase.png,vgan,chase
148,s41-q969-im53-im213-impicker,969,53,213,213,41,6,False,001202-saunet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
149,s41-q1004-im37-im53-impicker,1004,37,53,53,41,6,True,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
150,s41-q991-im151-im223-impicker,991,151,223,151,41,6,True,001202-unet-chase.png,001202-vesselunet-chase.png,001202-unet-chase.png,unet,chase
151,s41-q1002-im111-im165-impicker,1002,111,165,111,41,6,False,001202-laddernet-chase.png,001202-iternet-chase.png,001202-laddernet-chase.png,laddernet,chase
152,s41-q990-im53-im151-impicker,990,53,151,151,41,6,False,001202-saunet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
153,s41-q994-im45-im165-impicker,994,45,165,45,41,6,False,001202-vgan-chase.png,001202-iternet-chase.png,001202-vgan-chase.png,vgan,chase
154,s41-q973-im53-im111-impicker,973,53,111,53,41,6,True,001202-saunet-chase.png,001202-laddernet-chase.png,001202-saunet-chase.png,saunet,chase
155,s41-q993-im111-im223-impicker,993,111,223,111,41,6,False,001202-laddernet-chase.png,001202-vesselunet-chase.png,001202-laddernet-chase.png,laddernet,chase
156,s41-q972-im45-im223-impicker,972,45,223,45,41,6,True,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vgan-chase.png,vgan,chase
157,s41-q984-im111-im213-impicker,984,111,213,111,41,6,True,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-laddernet-chase.png,laddernet,chase
158,s41-q1007-im37-im165-impicker,1007,37,165,165,41,6,False,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
159,s41-q996-im111-im165-impicker,996,111,165,111,41,6,True,001202-laddernet-chase.png,001202-iternet-chase.png,001202-laddernet-chase.png,laddernet,chase
160,s41-q987-im53-im165-impicker,987,53,165,53,41,6,False,001202-saunet-chase.png,001202-iternet-chase.png,001202-saunet-chase.png,saunet,chase
161,s41-q980-im53-im213-impicker,980,53,213,53,41,6,True,001202-saunet-chase.png,001202-eswanet-chase.png,001202-saunet-chase.png,saunet,chase
162,s41-q976-im53-im223-impicker,976,53,223,53,41,6,True,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-saunet-chase.png,saunet,chase
163,s41-q992-im37-im213-impicker,992,37,213,213,41,6,False,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
164,s41-q1006-im37-im213-impicker,1006,37,213,213,41,6,True,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
165,s41-q975-im37-im165-impicker,975,37,165,165,41,6,True,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
166,s41-q968-im53-im151-impicker,968,53,151,151,41,6,True,001202-saunet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
167,s41-q989-im45-im53-impicker,989,45,53,53,41,6,False,001202-vgan-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
168,s41-q982-im45-im111-impicker,982,45,111,45,41,3,False,001202-vgan-chase.png,001202-laddernet-chase.png,001202-vgan-chase.png,vgan,chase
169,s41-q986-im37-im53-impicker,986,37,53,53,41,3,False,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
170,s41-q985-im111-im213-impicker,985,111,213,213,41,3,False,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
171,s41-q983-im111-im151-impicker,983,111,151,151,41,3,False,001202-laddernet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
172,s41-q977-im45-im151-impicker,977,45,151,45,41,3,False,001202-vgan-chase.png,001202-unet-chase.png,001202-vgan-chase.png,vgan,chase
173,s41-q995-im165-im223-impicker,995,165,223,165,41,3,False,001202-iternet-chase.png,001202-vesselunet-chase.png,001202-iternet-chase.png,iternet,chase
174,s41-q981-im151-im165-impicker,981,151,165,165,41,3,False,001202-unet-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
175,s41-q979-im213-im223-impicker,979,213,223,223,41,3,False,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
176,s41-q1001-im45-im213-impicker,1001,45,213,213,41,3,False,001202-vgan-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
177,s41-q998-im37-im223-impicker,998,37,223,223,41,3,False,001202-iternet_uni-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
